,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
213411,53528,39.79786412,-104.74668602,E Randolph Pl,80310083893008
40098,120329,39.7817454,-104.76460144,N Argonne St,80310083901011
260237,223316,39.75127919,-104.91667996,N Krameria St,80310041044007
150778,311404,39.71565002,-104.97487319,E Bayaud Ave,80310028032000
2726,61938,39.74626498,-104.99644089,15th St,80310017022002
305967,288418,39.69589705,-104.93422315,S Cherry St,80310155002003
74602,14824,39.7609594,-105.01276106,W 31st Ave,80310004023002
259338,208293,39.69278581,-105.00744834,S Quieto Ct,80310014012000
299753,136761,39.7349456,-104.90968657,N Newport St,80310043041039
288800,101021,39.75738793,-105.03309817,N King St,80310005021004
265485,130944,39.7593014,-104.9528088,N Milwaukee St,80310036032024
249164,103214,39.64418257,-104.90648995,S Narcissus Way,80310068091003
196749,168381,39.74074354,-104.91793396,N Kearney St,80310042024018
133474,68848,39.71662423,-104.94825868,N Adams St,80310038004001
138860,149294,39.6670331,-104.97290558,S Downing Cir,80310030043009
288697,170973,39.76878662,-104.90860831,N Oneida St,80310041021058
113222,93538,39.708313399999994,-104.98005965,S Pearl St,80310029021006
298181,305621,39.71499516,-104.97428029,S Downing Street Pkwy,80310028032000
64282,20605,39.73674587,-105.0349588,W 13th Ave,80310007023002
43836,177498,39.77467753,-104.99906373,N Jason St,80310011012010
208178,28135,39.75004046,-104.8821318,E 23rd Ave,80310041061235
21192,297145,39.79159051,-104.77323223,N Yampa St,80310083881001
207764,27435,39.75737955,-104.8740037,N Emporia St,80310041061167
253945,212800,39.78939352,-105.0384148,N Osceola St,80310154003004
220162,254753,39.65634833,-104.87084997,E Girard Ave,80310068142001
262051,92878,39.68988164,-105.04643904,S Vrain Way,80310046012024
151848,212132,39.69033117,-104.98244575,S Logan St,80310030012016
134762,265453,39.71010868,-104.94453808,S Monroe St,80310039011003
40687,208761,39.76906742,-104.94659953,N Madison St,80310036021017
273727,229445,39.75084146,-104.90546274,N Pontiac St,80310042021001
280397,96345,39.6939271,-105.02122484,S Dale Ct,80310014014003
42794,203326,39.77735125,-104.99198584,N Delaware St,80310015003018
130142,212077,39.71653586,-104.94279145,N Jackson St,80310038003002
178934,72717,39.670598299999995,-104.87550954,S Dayton Way,80310068131000
101153,139732,39.73323754,-104.94106521,N Colorado Blvd,80310037032018
62372,29547,39.74353972,-105.02953906,N Irving St,80310007021010
242427,74339,39.69817325,-104.90895571,E Tennessee Ave,80310050022008
220244,306225,39.65534893,-104.87118793,E Girard Ave,80310068142001
135716,191405,39.67613534,-104.97211215,S Marion St,80310030042007
164944,56591,39.77149871,-104.96622287,E 39th Ave,80310036011002
2441,53143,39.74637371,-104.99687575,15th St,80310017022002
139320,310059,39.7138723,-104.94177107,S Harrison St,80310038003011
204087,139277,39.76412075,-104.93281175,N Dexter St,80310041013013
47253,133752,39.7701487,-105.05241569,N Zenobia St,80310003016006
250247,192134,39.64460407,-104.89599983,E Napa Pl,80310068093011
258197,105497,39.796890399999995,-104.81597542,E March Dr,80310083861006
131580,314216,39.71096352,-104.98231651,S Logan St,80310029011001
264752,95967,39.78081596,-104.83061011,N Chandler Ct,80310083121003
172723,65072,39.68901943,-104.90167438,E Florida Ave,80310070132013
245545,245239,39.74427843,-104.98717839,N Broadway,80310026011017
209174,28496,39.71938596,-104.90709441,N Olive St,80310043062014
136498,229429,39.70289693,-104.96718067,S Gilpin St,80310034021011
260205,129685,39.62902983,-105.10699936,S Iris St,80310120143006
103806,251045,39.74568736,-104.98141125,E 19th Ave,80310026011010
280730,98007,39.69192452,-105.05154646,S Zenobia St,80310046012020
93452,84586,39.74663121,-104.99430454,16th St,80310017022004
5301,265419,39.63532042,-105.08000378,S Wadsworth Blvd,80310120101004
168910,46801,39.73192936,-104.91917314,E 10th Ave,80310043043005
109956,130472,39.71998854,-105.02401891,W 2nd Ave,80310010003001
55069,47454,39.73338038,-104.99751041,N Inca St,80310018002004
85448,30666,39.76246903,-105.05280619999999,N Zenobia St,80310003024017
60123,202484,39.76285769,-105.01774479999999,N Alcott St,80310004022014
7947,277022,39.68530673,-104.96548017,E Buchtel Blvd,80310030032000
36857,233508,39.79350612,-104.76511445,E 54th Pl,80310083892000
133623,260590,39.71681829999999,-104.94761788,N Cook St,80310038004001
112818,228800,39.71348194,-104.94572757,S Madison St,80310038003014
103880,269896,39.74521028,-104.98127813,N Pennsylvania St,80310026011010
6049,255491,39.62883298,-104.89414898,E Union Ave,80310068042020
212426,298669,39.64850307,-104.88062255,E Lehigh Ave,80310068101003
111248,222144,39.75317233,-105.04671965,W Byron Pl,80310005012023
60917,109106,39.76583483,-105.00942166,W 35th Ave,80310011022013
185190,16035,39.69091347,-104.93997022,S Colorado Blvd,80310155003004
70883,108543,39.73880783,-104.94806864,N Adams St,80310037031005
44697,209176,39.76997288,-105.01629421,N Zuni St,80310004012014
105786,123840,39.76384785,-105.04016592,N Quitman St,80310003022000
231858,231052,39.73192837,-104.94869878,N Adams St,80310033001007
230386,280907,39.71616163,-104.94683598,E Ellsworth Ave,80310038004017
218219,278185,39.72991904,-104.92140865,E 8th Ave,80310043043020
132168,47589,39.6949825,-104.9885765,S Acoma St,80310014031000
281002,190043,39.77726142,-104.76094114,N Espana Way,80310083901019
87678,243747,39.76526184,-105.0040094,N Navajo St,80310011021030
267894,122321,39.66413175,-104.94906062,S Steele St,80310040023002
192334,19952,39.77582797,-104.75434577,E Mitchell Pl,80310083902016
268556,93859,39.65611939,-105.06599969,W Floyd Ave,80310119023005
290751,178139,39.68433464,-104.94322055,E Montana Pl,80310039022031
183643,213729,39.69736415,-104.89562351,E Mississippi Ave,80310070883000
233729,226369,39.69935613,-104.89339026,S Valentia St,80310070883017
307922,259864,39.79778313,-104.88464509,N Central Park Blvd,80310041071001
12059,154066,39.76300528,-105.01225515,W 33rd Ave,80310004022010
20705,236805,39.7944198,-104.77714519,E 54th Ave,80310083881001
108769,157411,39.7341844,-104.95092112,N Saint Paul St,80310037022006
116150,98444,39.73202462,-105.04717275,N Winona Ct,80310009042002
89563,40449,39.73597586,-104.95776618,N Columbine St,80310037023003
274392,189575,39.71935456,-105.04416532,N Utica St,80310009024000
271555,178260,39.78647963,-105.02840666,N Hooker St,80310154004008
274136,178268,39.75713917,-104.92145074,N Ivanhoe St,80310041045007
195573,267309,39.63330055,-105.08721715,S Balsam Way,80310120142007
185333,74708,39.71953146,-104.90428940000001,N Poplar St,80310043062009
252114,134641,39.79433261,-104.83870173,N Tulsa Way,80310083041013
315630,291688,39.80719147,-104.86819965,N Galena Ct,80310041061000
237632,56945,39.65446936,-105.06455306,W Hampden Ave,80310119023002
186565,80044,39.67604623,-104.90435425,E Evans Ave,80310069011000
105432,226932,39.75545715,-105.03495698,N Lowell Blvd,80310005024005
20371,254307,39.75385658,-105.0026196,Wewatta St,80310017011009
161830,12453,39.6914226,-104.96259137,S Vine St,80310034023002
147952,160212,39.71852338,-104.93134415,N Dahlia St,80310043032045
295281,103267,39.74184174,-104.91132833,N Magnolia St,80310042023034
194138,91734,39.668211299999996,-104.92779272,E Yale Cir,80310053001038
36402,76380,39.77254353,-104.84382299,E 39th Ave,80310041061044
256087,224045,39.78975799,-104.83558849,N Uvalda St,80310083062004
254819,143504,39.78003453,-104.83611473,N Abilene St,80310083121009
204480,61570,39.73723781,-104.95776031,N Columbine St,80310037024006
205559,107222,39.72025497,-104.94104422,N Harrison St,80310038002000
71085,100413,39.76598853,-105.00620862,N Pecos St,80310011022011
231405,49387,39.72129064,-104.88055949,E 4th Pl,80310044053016
157244,230625,39.68183043,-104.9560242,E Jewell Ave,80310040052008
86305,288523,39.73660044,-104.97143501,N Marion St,80310032013001
305832,289534,39.73113659,-104.98496191,N Sherman St,80310027024001
291680,152145,39.70224868,-104.95256393,S Milwaukee St,80310039013011
34129,2161,39.7652523,-104.91849856,N Jasmine St,80310041023004
104891,119716,39.73321879,-104.94697482,N Cook St,80310037032023
284178,158272,39.682919399999996,-105.04144934,S Quitman St,80310046013014
103020,19798,39.71851602,-104.98718977,N Broadway,80310028021028
33656,2330,39.75825343,-104.91830054,E 29th Ave,80310041045004
183549,67066,39.69774987,-104.89786757,E Mississippi Ave,80310070883000
20388,268826,39.75417193,-105.00200954,17th St,80310017011009
148044,131014,39.70174956,-104.96782556,S Gilpin St,80310034021017
30861,209214,39.76426361,-104.9365862,N Bellaire St,80310041013010
43219,203866,39.77446761,-105.03142258,N Julian St,80310003012009
37,257325,39.77336741,-104.81302051,E 40th Ave,80310083122000
99556,176508,39.72080702,-104.99258372,N Delaware St,80310021004000
64356,294327,39.73894611,-105.03005093,N Irving St,80310007022007
162493,165647,39.71829153,-104.91495995,N Krameria St,80310043063005
155119,102955,39.668141399999996,-104.98198412,S Pennsylvania St,80310030022011
84986,44701,39.73039764,-104.99744245,W 9th Ave,80310018002009
242160,230179,39.673012799999995,-104.87321093,E Harvard Ave,80310068132000
314413,257849,39.76016732,-104.86849015,E Martin Luther King Jr Blvd,80310041061148
39548,54227,39.75534711,-104.90134468,E 26th Ave,80310041071137
54251,217650,39.7780643,-105.00221872,N Lipan St,80310002021008
209405,263885,39.77517258,-104.93634746,N Albion St,80310041011051
170262,173788,39.70361313,-104.91016696,E Exposition Ave,80310050021020
216411,68737,39.71988245,-104.89331715,E Lowry Blvd,80310044054069
102676,19112,39.7129351,-105.01418615,W Cedar Ave,80310010001044
277084,164275,39.79246212,-104.84441679999999,E Elmendorf Pl,80310083042008
304092,284826,39.71247520000001,-104.89140512,E Fairmount Dr,80310044052022
111364,160409,39.74283408,-104.96810767,N Franklin St,80310031022006
124955,9231,39.69781604,-105.02621797,S Grove St,80310045062015
229943,232830,39.81986968,-104.66529499,N Valley Head St,80319800001074
88858,46724,39.76784997,-105.04300861,N Stuart St,80310003021003
40358,88685,39.78488523,-104.86290798,N Ironton St,80319801001065
291129,100705,39.68968499,-105.04033556,S Perry St,80310046011022
22278,1023,39.70447769,-104.86833823,E Virginia Ave,80310070372008
260398,97673,39.78369451,-104.83669920000001,E 48th Ave,80310083063006
126597,149103,39.7173631,-104.98344786,N Grant St,80310028022002
221312,187170,39.67525194,-104.93664549,S Birch St,80310053001019
245909,293422,39.78042477,-104.88214805,N Central Park Blvd,80310041071011
308935,311497,39.80213706,-104.88083456,N Boston St,80310041061003
264702,197783,39.78189834,-104.81640639,N Enid Way,80310083871010
203373,25108,39.78778387,-104.73596726,N Perth St,80310083893084
145653,136637,39.71495818,-104.97722352,S Emerson St,80310028033000
230552,132925,39.68489046,-104.96840819,S Franklin St,80310030031014
39725,184571,39.77820399,-104.74808339,E 44th Ave,80310083911034
193796,49191,39.76019041,-104.99921037,N Inca St,80310016002009
164611,85437,39.68300168,-104.93772028,S Bellaire St,80310051042003
157741,305252,39.67134116,-104.95906346,S University Blvd,80310040063005
219453,35135,39.76075698,-104.8690008,E 31st Ave,80310041061147
87031,46435,39.75688177,-104.94147784,N Harrison St,80310036031027
43125,196434,39.78081756,-104.98608284,N Lincoln St,80310015002019
291279,127461,39.75368555,-104.90545997,N Pontiac St,80310041043001
194220,77264,39.72230564,-104.89660652,E 1st Pl,80310044054052
100985,116326,39.73573212,-104.94261698,N Jackson St,80310037032003
95193,217670,39.75721731,-104.97908839,28th St,80310024031010
29917,298775,39.78606471,-105.03508693,N Lowell Blvd,80310154002000
185217,88381,39.69091347,-104.93997022,S Colorado Blvd,80310155003004
216310,232556,39.73783879,-104.962051,N Vine St,80310032021007
248476,116863,39.65891924,-105.03921213,W Eldorado Pl,80310157003007
298328,216018,39.79098116,-104.84271186,N Scranton Ct,80310083043008
128357,227935,39.70712224,-104.9548203,Polo Club Rd,80310039011027
72174,50928,39.75376969,-104.99451087,Blake St,80310017014000
272830,108040,39.79783878,-104.81666727,E Randolph Pl,80310083861004
194970,113687,39.774095,-104.74305053,N Malaya St,80310083912012
279592,135674,39.64767995,-104.92578306,S Hibiscus Way,80310040041032
226892,241964,39.74557934,-104.93445481,E 19th Ave,80310042015008
298656,212138,39.65833262,-105.03734062,W Greenwood Pl,80310157003009
147257,197912,39.72348655,-104.92013558,N Crestmoor Dr,80310043065014
100948,235869,39.74870341,-104.97266761,N Marion St,80310031011011
296008,232296,39.755187799999995,-104.91433911,N Locust St,80310041045014
228251,112873,39.78157152,-104.98147672,N Pennsylvania St,80310015002035
157693,302380,39.67149046,-104.95888723,S University Blvd,80310040063005
258080,197351,39.73627626,-104.90029874,N Rosemary St,80310044041021
158089,195405,39.68185786,-104.97658178,S Emerson St,80310030013013
284891,224441,39.65493788,-104.92281489,S Holly St,80310040032021
277394,121739,39.78730592,-104.83451574,N Wheeling St,80310083062020
150212,303001,39.71633041,-104.97598378,S Ogden St,80310028032001
50905,192942,39.75803499,-105.02330536,N Eliot St,80310006001010
228713,114585,39.78145047,-105.02365135,N Eliot St,80310002024018
57411,295269,39.74233956,-105.02772215,N Hooker St,80310007022003
55408,308845,39.72675843,-104.98314013,N Grant St,80310028013002
149867,56906,39.72503454,-104.98018532,N Pearl St,80310028013013
273946,157005,39.78170087,-104.81125615,N Fraser Way,80310083871020
306647,245178,39.78576105,-104.79481849,E 49th Ave,80310083881061
273228,113409,39.65385462,-104.93892681,S Ash St,80310040034026
258661,214009,39.65780209,-104.95816029,S Josephine St,80310040022010
249636,198207,39.75508045,-104.90606346,N Pontiac St,80310041042002
85114,157664,39.73896008,-104.96257559,N Vine St,80310032021002
127467,9327,39.67038573,-104.95674877,S Columbine St,80310040063007
240391,251932,39.68428047,-104.89555892,E Colorado Ave,80310070131002
233707,51238,39.63378503,-104.88562373,S Yosemite St,80310068041016
195519,156020,39.71643322,-104.90286271,E Ellsworth Ave,80310044051020
308574,302303,39.80321061,-104.88279148,N Alton St,80310041061003
128742,69667,39.703998799999994,-104.98373951,S Grant St,80310029012009
292045,249937,39.73713193,-104.88541778,E 13th Ave,80310044043016
139057,10211,39.70700664,-104.98258368,S Logan St,80310029012001
58799,90453,39.73417388,-105.04942879,W 11th Ave,80310009043005
37819,19297,39.77365123,-104.80686971,E 40th Ave,80310083882006
2071,259006,39.6292482,-105.09258716,S Balsam Way,80310120144001
133283,84318,39.7202593,-104.95070661,N Saint Paul St,80310038005026
104843,20771,39.73954858,-104.95149075,N Milwaukee St,80310037021001
45606,3182,39.78804502,-104.94904309999998,N Adams St,80310035002025
8437,279634,39.72032426,-104.97950148,N Washington St,80310028034004
294878,194845,39.73082359,-104.92606241,N Glencoe St,80310043022025
253110,131266,39.77554179,-104.75293992,E 42nd Pl,80310083911036
153465,278895,39.73978641,-104.90597902,N Pontiac St,80310043041002
152152,114953,39.66186555,-105.02487114,S Federal Blvd,80310156001010
271411,130698,39.69695148,-104.97778411,S Clarkson St,80310029023011
298755,188209,39.72844703,-104.94980342,N Steele St,80310033003000
38248,20417,39.77577228,-104.80773856,E 40th Ave,80310083882006
213315,77775,39.75880525,-104.89388325,E 29th Pl,80310041071084
5844,58161,39.62899138,-104.89446066,E Union Ave,80310068042020
48809,185922,39.77825276,-105.03544972,N Meade St,80310001022033
737,257821,39.74694599,-104.98198143,N Logan St,80310026011001
229767,79587,39.74638101,-104.97789843,E 19th Ave,80310026021000
284455,164449,39.66729967,-104.8980745,E Amherst Ave,80310068111001
24112,1554,39.71715343,-104.94955141,E 1st Ave,80310038004002
82203,179798,39.73112422,-104.99973744,N Kalamath St,80310018002013
203359,209084,39.774485399999996,-104.93632509999999,N Albion St,80310041011049
20062,297624,39.75609785,-105.00196129,Chestnut Pl,80310017011009
266173,220956,39.77944621,-104.81393969,E Elk Pl,80310083871024
199395,22502,39.75394995,-104.89878382,N Syracuse St,80310041071132
55213,248002,39.72572899,-104.98263185,N Logan St,80310028013002
285929,207433,39.65685187,-104.93249548,S Dexter St,80310040034018
311446,308929,39.69904251,-104.87628028,E Mississippi Ave,80310070884001
204964,54744,39.75193596,-105.00513422,Delgany St,80310017012004
183162,102490,39.65344259,-104.93315877,S Dexter St,80310040034021
66604,83784,39.74460096,-104.99592864,14th St,80310017022017
63198,292996,39.76315108,-104.98737629,N Brighton Blvd,80310016001011
29352,1837,39.76406879,-104.92555378,N Glencoe St,80310041012002
21336,303042,39.79338927,-104.77280003,E Elmendorf Dr,80310083881001
197611,313393,39.72937788,-104.97860844,N Washington St,80310027021002
302611,142020,39.79180981,-104.8123525,E Elmendorf Pl,80310083862012
131450,225234,39.71869906,-104.95368713,N Fillmore St,80310038005037
194749,52491,39.78086174,-105.00581979999998,N Pecos St,80310002021004
239473,62725,39.73544543,-104.96912152,N Humboldt St,80310032015002
120214,42611,39.69014026,-104.98022295,S Pearl St,80310030012020
259302,166721,39.63292947,-105.03445447,W Pimlico Ave,80310055031000
34612,89953,39.76865889,-104.92720831,N Forest St,80310041011070
299970,150485,39.68617606,-105.03187699,S Julian Way,80310046022010
27079,41364,39.76271320000001,-104.9274243,E Thrill Pl,80310041012014
67998,7477,39.73917962,-105.03359744,N King St,80310007024010
154504,296067,39.69583641,-104.98645129,E Arizona Ave,80310030011003
212788,202066,39.79419414,-104.75700094,E 54th Pl,80310083893031
247679,159758,39.68622868,-104.92604332,S Glencoe St,80310051023010
131259,78796,39.7081934,-104.97161183,S Marion Street Pkwy,80310034012015
172155,49039,39.63454133,-104.91132289,S Monaco St,80310067011010
91158,69595,39.73321952,-104.97090791,N Lafayette St,80310032012001
214667,260879,39.74642308,-104.98407486,N Grant St,80310026011003
96698,305941,39.7491179,-104.98682,California St,80310024032014
276199,103077,39.77849898,-104.95047081,N Saint Paul St,80310035005017
57317,117090,39.74709075,-105.03177621,N Julian St,80310005023017
159868,114492,39.67086738,-104.9696405,S Humboldt St,80310030042030
302217,113165,39.65722401,-104.91820718,S Leyden St,80310068123015
96501,299091,39.74945635,-104.98600661,California St,80310024032014
312459,247088,39.76468394,-104.98724454,28th St,80310016002001
